Vehicle ID,Type,x [m],y [m],Speed [km/h],Tan. Acc. [ms-2],Lat. Acc. [ms-2],Time [s], Angle [rad]
1, Car,356492.03,4363440.42,23.8829,-0.0555,-0.0209,0,0.8587
1, Car,356492.18,4363440.59,23.8771,-0.0403,-0.0308,0.033367,0.8587
1, Car,356492.32,4363440.76,23.874,-0.0108,0.0051,0.066733,0.8588
1, Car,356492.47,4363440.93,23.8746,0.0205,-0.026,0.1001,0.8588
1, Car,356492.61,4363441.1,23.8789,0.0511,-0.0223,0.133467,0.8588
1, Car,356492.75,4363441.26,23.8863,0.0715,-0.0166,0.166833,0.8588
1, Car,356492.9,4363441.43,23.8977,0.1189,-0.0096,0.2002,0.8588
1, Car,356493.04,4363441.6,23.9129,0.1333,0,0.233567,0.8588
1, Car,356493.19,4363441.77,23.9321,0.1872,-0.0411,0.266933,0.8589
1, Car,356493.33,4363441.93,23.9542,0.1812,-0.024,0.3003,0.859
1, Car,356493.48,4363442.1,23.9804,0.2542,-0.0199,0.333667,0.8591
1, Car,356493.62,4363442.27,24.0123,0.2768,-0.0191,0.367033,0.8592
1, Car,356493.77,4363442.44,24.0477,0.3133,-0.0244,0.4004,0.8591
1, Car,356493.91,4363442.6,24.084,0.2916,-0.0307,0.433767,0.8592
1, Car,356494.05,4363442.77,24.1216,0.3335,-0.0253,0.467133,0.8592
1, Car,356494.2,4363442.94,24.0263,0.1259,-0.0353,0.5005,0.8594
1, Car,356494.34,4363443.11,24.0408,0.1154,-0.0237,0.533867,0.8595
1, Car,356494.49,4363443.27,24.0569,0.153,-0.0022,0.567233,0.8596
1, Car,356494.63,4363443.44,24.0753,0.152,-0.0313,0.6006,0.8596
1, Car,356494.78,4363443.61,24.0941,0.1615,-0.0232,0.633967,0.8598
1, Car,356494.92,4363443.78,24.1149,0.1845,-0.03,0.667333,0.8599
1, Car,356495.07,4363443.95,24.1373,0.1894,-0.0204,0.7007,0.8601
1, Car,356495.21,4363444.12,24.1603,0.1927,-0.0248,0.734067,0.8602
1, Car,356495.36,4363444.29,24.185,0.2188,-0.0186,0.767433,0.8604
1, Car,356495.51,4363444.46,24.212,0.2316,-0.0277,0.8008,0.8606
1, Car,356495.65,4363444.63,24.2405,0.243,-0.0338,0.834167,0.8608
1, Car,356495.8,4363444.8,24.2701,0.2485,-0.0215,0.867533,0.8609
1, Car,356495.95,4363444.97,24.3009,0.2655,-0.0104,0.9009,0.8611
1, Car,356496.09,4363445.14,24.3332,0.2725,-0.03,0.934267,0.8611
1, Car,356496.24,4363445.31,24.3667,0.2851,-0.0282,0.967633,0.8613
1, Car,356496.39,4363445.48,24.4024,0.3082,-0.0371,1.001,0.8614
1, Car,356496.54,4363445.66,24.4399,0.3164,-0.0204,1.034367,0.8616
1, Car,356496.68,4363445.83,24.478,0.3189,-0.0212,1.067733,0.8619
1, Car,356496.83,4363446,24.5176,0.3398,-0.0228,1.1011,0.8619
1, Car,356496.98,4363446.17,24.5584,0.3392,-0.0196,1.134467,0.8619
1, Car,356497.13,4363446.35,24.6006,0.3643,-0.0132,1.167833,0.8621
1, Car,356497.28,4363446.52,24.645,0.3741,-0.0176,1.2012,0.8623
1, Car,356497.42,4363446.69,24.6907,0.3876,-0.0374,1.234567,0.8624
1, Car,356497.57,4363446.86,24.7372,0.3866,-0.0109,1.267933,0.8624
1, Car,356497.72,4363447.04,24.7848,0.4058,-0.0098,1.3013,0.8625
1, Car,356497.87,4363447.21,24.8346,0.4228,-0.008,1.334667,0.8625
1, Car,356498.02,4363447.39,24.8851,0.4182,-0.0117,1.368033,0.8626
1, Car,356498.17,4363447.56,24.9342,0.3998,-0.0284,1.4014,0.8628
1, Car,356498.32,4363447.74,24.9827,0.4066,0.0003,1.434767,0.8627
1, Car,356498.47,4363447.91,25.0315,0.4069,-0.0011,1.468133,0.8628
1, Car,356498.62,4363448.09,25.0807,0.412,-0.0042,1.5015,0.8628
1, Car,356498.77,4363448.26,25.1313,0.4306,-0.0024,1.534867,0.8629
1, Car,356498.92,4363448.44,25.1834,0.4373,0.0038,1.568233,0.8628
1, Car,356499.07,4363448.62,25.2364,0.4447,-0.0072,1.6016,0.8629
1, Car,356499.22,4363448.79,25.2904,0.4553,0.0022,1.634967,0.8629
1, Car,356499.38,4363448.97,25.3461,0.4711,0.0036,1.668333,0.8628
1, Car,356499.53,4363449.15,25.4032,0.4802,0.0038,1.7017,0.8628
1, Car,356499.68,4363449.33,25.4621,0.4995,0.0086,1.735067,0.8628
1, Car,356499.84,4363449.51,25.5227,0.5102,0.0136,1.768433,0.8628
1, Car,356499.99,4363449.69,25.5848,0.5234,0.0052,1.8018,0.8626
1, Car,356500.14,4363449.87,25.6475,0.5204,0.0023,1.835167,0.8625
1, Car,356500.3,4363450.05,25.7116,0.5465,0.0397,1.868533,0.8625
1, Car,356500.46,4363450.23,25.7778,0.5565,-0.0076,1.9019,0.8625
1, Car,356500.61,4363450.42,25.8454,0.5695,0.0181,1.935267,0.8624
1, Car,356500.77,4363450.6,25.9144,0.5784,0.023,1.968633,0.8623
1, Car,356500.92,4363450.78,25.9852,0.6004,0.0281,2.002,0.8622
1, Car,356501.08,4363450.96,26.0572,0.5989,0.0289,2.035367,0.8621
1, Car,356501.24,4363451.15,26.1301,0.6159,0.0024,2.068733,0.862
1, Car,356501.4,4363451.33,26.2056,0.64,0.0326,2.1021,0.8618
1, Car,356501.55,4363451.51,26.2826,0.6426,0.0242,2.135467,0.8618
1, Car,356501.71,4363451.7,26.3611,0.6645,0.0352,2.168833,0.8617
1, Car,356501.87,4363451.88,26.4418,0.6797,0.0338,2.2022,0.8615
1, Car,356502.03,4363452.07,26.5241,0.6906,0.021,2.235567,0.8613
1, Car,356502.19,4363452.25,26.6073,0.6945,0.0367,2.268933,0.8611
1, Car,356502.35,4363452.44,26.692,0.7161,0.0254,2.3023,0.8611
1, Car,356502.51,4363452.63,26.7773,0.7033,0.0385,2.335667,0.8611
1, Car,356502.67,4363452.82,26.8619,0.7061,0.0319,2.369033,0.8608
1, Car,356502.83,4363453,26.9468,0.7071,0.0376,2.4024,0.8608
1, Car,356502.99,4363453.19,27.0339,0.7425,0.0461,2.435767,0.8605
1, Car,356503.16,4363453.38,27.1233,0.7463,0.0346,2.469133,0.8603
1, Car,356503.32,4363453.57,27.2136,0.7563,0.0322,2.5025,0.8601
1, Car,356503.49,4363453.76,27.3059,0.7807,0.0335,2.535867,0.86
